Threads	AOPT	AOPT-opt-reads	PMWCAS
1	0.751732	0.705917	0.78013
2	1.430102	1.373358	1.528834
4	2.768036	2.681666	3.014421
8	4.913461	4.786413	5.360764
12	6.764755	6.514144	7.408919
16	8.131734	7.937471	8.883086
20	9.813603	9.635305	10.724348
24	10.747525	10.520037	11.688079
28	11.474848	11.237224	12.505498
32	11.982706	11.870707	12.966036
36	12.746122	12.58998	13.457972
39	13.054016	13.002667	13.850864
