Threads	AOPT	AOPT-opt-reads	PMWCAS
1	1.232081	1.102811	1.238788
2	2.283498	2.004126	2.316206
4	4.013028	3.50548	3.891335
8	5.691921	4.961239	4.833638
12	6.158749	5.513	4.751217
16	6.341684	5.749384	4.590154
20	6.546285	6.005241	4.519496
24	6.803029	6.378768	4.3818
28	7.050951	6.446379	4.290338
32	7.379648	6.742275	4.301015
36	7.833033	6.975247	4.42254
39	8.052974	7.139682	4.467367
