Threads	AOPT	AOPT-opt-reads	PMWCAS
1	1.064978	0.776746	1.071863
2	1.390191	1.067142	1.230605
4	1.834406	1.502364	1.136461
8	1.798925	1.564437	0.761451
12	1.658257	1.47239	0.609091
16	1.559336	1.405991	0.542485
20	1.526815	1.391052	0.520682
24	1.498433	1.372246	0.508183
28	1.511082	1.387861	0.515761
32	1.536447	1.431278	0.536283
36	1.602876	1.455797	0.55791
39	1.706326	1.495501	0.563978
