Threads	AOPT	AOPT-opt-reads	PMWCAS
1	0.772009	0.629709	0.771597
2	1.231022	1.026967	1.250069
4	2.220216	1.868387	2.23387
8	3.609746	3.058773	3.415929
12	4.587479	3.854231	3.870351
16	5.191685	4.415707	3.60383
20	5.802148	4.921501	3.19909
24	5.967014	5.066977	2.717025
28	6.167685	5.175514	2.397116
32	6.17515	5.129026	2.174427
36	6.478016	5.349847	2.035507
39	6.435219	5.348589	1.958353
