Threads	AOPT	AOPT-opt-reads	PMWCAS
1	1.040539	0.761056	1.045824
2	1.271129	0.99175	1.105333
4	1.606618	1.311404	0.940936
8	1.49346	1.302888	0.613524
12	1.36671	1.217603	0.495866
16	1.296049	1.174927	0.447757
20	1.271268	1.156951	0.437815
24	1.236875	1.149556	0.41273
28	1.266348	1.153948	0.417461
32	1.313783	1.193332	0.442226
36	1.318139	1.222312	0.459786
39	1.412846	1.243702	0.456997
