Threads	AOPT	AOPT-opt-reads	PMWCAS
1	0.857131	0.722521	0.859828
2	1.574918	1.294367	1.494891
4	3.026706	2.452317	2.814417
8	5.312429	4.326002	4.83476
12	7.218651	5.832069	6.340802
16	8.592467	7.0651	7.323067
20	10.332283	8.374998	8.233485
24	11.159077	9.02092	8.431927
28	11.869468	9.663935	8.448558
32	12.37054	9.964699	8.304085
36	13.215381	10.756781	8.127659
39	13.613341	10.87473	7.796163
