Threads	AOPT	AOPT-opt-reads	AOPT-unsafe	PMWCAS
1	1.250121	1.125178	1.274162	1.125624
2	2.47664	2.238546	2.521158	2.236605
4	4.89362	4.393258	4.968619	4.404002
8	8.80106	7.878262	8.972849	7.904208
12	11.284894	10.302437	11.518973	10.120657
16	13.762947	12.454507	13.911898	12.363214
20	16.193607	14.706804	16.739884	14.465731
24	18.848676	17.098968	19.197611	16.783825
28	19.94234	18.097759	20.28444	17.537616
32	20.715832	18.706943	21.054328	18.209488
36	21.235753	19.350071	21.578307	18.507066
39	21.679398	19.802784	22.158539	18.85657
