Threads	AOPT	AOPT-opt-reads	AOPT-unsafe	PMWCAS
1	1.040065	1.006054	1.127903	1.004261
2	2.073186	2.001967	2.240867	1.99035
4	4.081214	3.884184	4.391275	3.843393
8	7.475028	7.040676	7.944532	7.071164
12	10.259165	9.665918	10.921842	9.638056
16	12.342184	11.866293	13.209658	11.727183
20	14.612761	13.992368	15.812807	13.853923
24	16.13165	15.448948	17.164247	15.060167
28	17.119236	16.430802	18.217817	15.916412
32	17.995009	17.013082	18.794655	16.332199
36	18.793899	17.658213	19.432675	16.750298
39	19.291317	18.151492	19.901026	17.2319
