Threads	AOPT	AOPT-opt-reads	PMWCAS
1	1.130733	0.818967	1.140047
2	1.709131	1.290159	1.610282
4	2.565008	2.028964	1.846451
8	2.825788	2.425166	1.413769
12	2.710576	2.435988	1.137294
16	2.582265	2.363585	1.001492
20	2.503185	2.316593	0.928341
24	2.468927	2.301033	0.918249
28	2.466556	2.338096	0.916308
32	2.572828	2.381658	0.954144
36	2.725332	2.456746	0.982543
39	2.888804	2.541669	0.991265
