Threads	AOPT	AOPT-opt-reads	PMWCAS
1	0.593698	0.517157	0.698033
2	1.061952	0.938397	1.292715
4	2.066422	1.802789	2.53383
8	3.682939	3.217653	4.474359
12	5.074533	4.441518	6.165767
16	6.142189	5.35425	7.357938
20	7.475118	6.506619	8.702166
24	8.075995	7.046477	9.401531
28	8.689983	7.447736	9.969318
32	8.929435	7.750057	10.363271
36	9.860056	8.467636	11.040399
39	10.073266	8.697847	11.139575
