Threads	AOPT	AOPT-opt-reads	PMWCAS
1	3.289	3.308	2.755
2	4.554	4.662	4.049
4	7.106	6.818	5.843
8	10.736	11.064	9.674
12	11.149	11.277	10.827
16	10.482	10.622	10.306
20	11.801	10.397	9.894
24	11.651	10.428	9.862
28	11.514	9.921	9.674
32	11.391	9.799	9.234
36	12.430	11.404	9.638
39	12.007	11.438	9.557
