Threads	AOPT	AOPT-opt-reads	PMWCAS
1	1.179242	1.17299	1.225397
2	2.225754	2.150227	2.303347
4	3.872718	3.637508	3.836645
8	5.432153	5.037046	4.769007
12	6.077744	5.534998	4.616144
16	5.988227	5.661676	4.502875
20	6.141896	5.907233	4.129511
24	6.424145	6.198631	4.164944
28	6.837739	6.448155	4.273832
32	7.270533	6.753176	4.321107
36	7.584459	6.924382	4.447825
39	7.885489	7.12345	4.527231
