Threads	AOPT	AOPT-opt-reads	PMWCAS
1	0.672195	0.607816	0.746659
2	1.264035	1.118651	1.420567
4	2.436101	2.154845	2.763311
8	4.455152	3.952845	4.979025
12	6.288799	5.455766	6.924647
16	7.783797	6.811253	8.561948
20	9.73306	8.525997	10.542064
24	10.218235	8.914752	10.976132
28	10.774278	9.333054	11.363993
32	11.26162	9.724233	11.765576
36	12.001583	10.360724	12.242466
39	12.406813	10.62534	12.530299
