Threads	AOPT	AOPT-opt-reads	PMWCAS
1	0.61345	0.536483	0.702607
2	1.092574	0.952427	1.293007
4	2.081031	1.818323	2.474712
8	3.765777	3.224324	4.419118
12	5.174229	4.518014	6.108106
16	6.357035	5.539574	7.502598
20	7.934529	6.913245	9.091749
24	8.348999	7.195101	9.397445
28	8.698721	7.402899	9.705402
32	9.015647	7.681349	10.01194
36	9.943146	8.420774	10.551626
39	10.215052	8.588467	10.737364
