Threads	AOPT	AOPT-opt-reads	PMWCAS
1	2.929447	3.117604	2.958714
2	5.801711	6.165196	5.817323
4	11.119315	11.96308	11.392315
8	20.558574	22.014778	20.377601
12	27.526492	29.860407	28.243317
16	34.993658	34.550208	35.480085
20	40.669633	44.170365	38.833781
24	44.799054	47.866928	45.330549
28	44.834884	48.325814	45.796141
32	45.706814	48.917674	46.296981
36	46.065818	49.421496	46.720915
39	46.346055	49.525609	46.981105
