Threads	AOPT	AOPT-opt-reads	PMWCAS
1	1.021411	0.803718	1.053584
2	1.284894	1.034828	1.120955
4	1.605898	1.363849	0.944593
8	1.45973	1.30734	0.59924
12	1.290601	1.191364	0.461094
16	1.166201	1.085541	0.392077
20	1.100809	1.03643	0.362036
24	1.149591	1.081822	0.390812
28	1.202573	1.126087	0.417769
32	1.245942	1.157983	0.442488
36	1.276849	1.179519	0.46277
39	1.316602	1.191064	0.46174
