Threads	AOPT	AOPT-opt-reads	PMWCAS
1	0.939593	0.863424	0.904229
2	1.778737	1.51787	1.607973
4	3.489863	2.955175	3.023884
8	6.392596	5.34774	5.475995
12	8.843002	7.491332	7.571296
16	10.938409	9.36533	9.228886
20	13.541395	11.553739	10.728721
24	14.098024	12.111232	11.085961
28	14.707422	12.637322	11.265834
32	15.254495	13.194035	11.603209
36	15.900333	13.778619	11.711853
39	16.277592	14.104849	11.845546
