Threads	AOPT	AOPT-opt-reads	PMWCAS
1	0.790071	0.759778	0.769957
2	1.143686	1.165809	1.26438
4	1.899586	2.024898	2.256249
8	3.412295	3.430279	4.145562
12	5.224763	5.181893	5.817386
16	6.294951	6.432813	7.181611
20	8.222427	8.19071	8.947619
24	9.024013	8.603955	9.530608
28	9.632319	9.503237	10.406042
32	10.494509	10.106703	11.030919
36	11.571965	11.036008	11.745274
39	12.067161	11.449899	12.213477
