Threads	AOPT	AOPT-opt-reads	PMWCAS
1	0.87771	0.733733	0.84967
2	1.512776	1.268036	1.440623
4	2.836651	2.352573	2.638812
8	4.953378	4.124579	4.419598
12	6.628162	5.549464	5.575745
16	7.963007	6.684895	6.179493
20	9.465309	7.918381	6.338132
24	9.832947	8.220232	5.860573
28	10.158526	8.485511	5.297007
32	10.451375	8.727922	4.781676
36	11.021375	9.117104	4.302516
39	11.175107	9.279578	3.875776
