Threads	AOPT	AOPT-opt-reads	PMWCAS
1	6.119	6.192	6.770
2	10.675	10.410	11.465
4	14.660	14.174	14.596
8	22.780	22.330	17.954
12	17.849	17.571	9.723
16	21.452	20.829	8.904
20	26.782	25.645	9.278
24	30.084	28.385	10.114
28	32.245	30.414	10.982
32	34.013	32.005	11.816
36	35.680	33.422	12.629
39	36.816	34.399	13.165
