Threads	AOPT	AOPT-opt-reads	AOPT-unsafe	PMWCAS
1	23.953	25.512	25.573	25.526
2	45.844	51.737	53.660	47.595
4	78.531	92.263	93.113	87.484
8	143.985	160.952	162.375	153.116
12	220.969	256.382	262.398	232.410
16	302.200	336.121	333.708	328.829
20	340.929	389.362	399.501	375.681
24	355.121	397.390	401.154	371.590
28	367.366	402.977	418.506	374.551
32	375.239	403.548	410.700	376.608
36	399.509	397.022	428.071	358.212
39	406.050	412.737	442.105	359.052
