Threads	AOPT	AOPT-opt-reads	AOPT-unsafe	PMWCAS
1	7.673	9.500	9.553	7.707
2	14.630	17.590	18.374	14.382
4	28.456	33.666	33.945	26.677
8	48.172	56.257	58.371	47.276
12	73.342	88.344	91.410	72.778
16	95.573	116.487	121.600	96.646
20	121.629	141.098	142.153	121.329
24	122.557	140.805	146.153	117.602
28	121.218	142.193	146.756	118.762
32	127.593	142.538	145.455	113.400
36	129.383	146.966	148.149	114.554
39	132.003	147.191	151.835	115.914
