Threads	AOPT	AOPT-opt-reads	PMWCAS
1	13.196	13.178	14.240
2	20.004	19.450	16.348
4	28.270	26.933	15.660
8	30.895	29.378	11.920
12	14.540	14.363	5.332
16	13.257	13.106	4.412
20	13.027	12.863	4.326
24	14.500	14.186	4.641
28	15.956	15.508	4.953
32	17.145	16.555	5.319
36	18.095	17.526	5.713
39	18.866	18.230	5.925
