Threads	AOPT	AOPT-opt-reads	PMWCAS
1	4.554	4.450	5.256
2	6.899	6.689	7.463
4	9.549	9.175	9.180
8	14.253	13.805	10.792
12	9.868	9.577	5.367
16	11.721	11.170	4.582
20	14.457	13.988	4.830
24	15.815	15.299	5.316
28	16.894	16.274	5.773
32	17.806	17.124	6.179
36	18.734	17.956	6.531
39	19.277	18.493	6.755
