Threads	AOPT	AOPT-opt-reads	PMWCAS
1	5.491	5.353	6.132
2	8.884	8.603	9.598
4	12.210	11.680	11.859
8	18.452	18.025	14.047
12	13.498	13.203	7.129
16	15.981	15.519	6.362
20	20.015	19.247	6.678
24	22.084	21.189	7.311
28	23.598	22.655	7.955
32	24.962	23.838	8.550
36	26.178	24.926	9.115
39	27.072	25.673	9.479
