Threads	AOPT	AOPT-opt-reads	AOPT-unsafe	PMWCAS
1	0.511	0.915	0.875	0.819
2	1.015	1.782	1.792	1.640
4	1.848	3.246	3.269	2.951
8	3.209	5.559	5.562	5.122
12	4.925	8.699	8.864	7.950
16	6.471	11.430	11.621	10.418
20	7.944	14.144	14.140	12.783
24	8.810	14.983	15.102	13.401
28	9.802	16.028	16.333	13.479
32	10.548	17.179	17.650	14.369
36	11.139	18.193	18.792	14.768
39	11.819	18.704	19.437	15.106
