Threads	AOPT	AOPT-opt-reads	PMWCAS
1	16.637	16.581	17.790
2	27.079	26.406	23.620
4	40.379	38.507	24.578
8	47.773	46.163	19.354
12	22.924	22.725	8.505
16	21.136	20.682	7.036
20	20.530	20.225	6.791
24	22.592	22.120	7.340
28	24.796	23.923	7.749
32	26.536	25.494	8.247
36	27.967	26.825	8.887
39	29.060	27.757	9.233
