Threads	AOPT	AOPT-opt-reads	PMWCAS
1	20.967	20.975	22.658
2	39.230	38.855	39.302
4	65.507	63.959	54.335
8	95.545	92.962	53.877
12	65.970	63.702	26.763
16	63.506	60.779	22.386
20	61.616	59.476	21.342
24	66.159	63.414	22.416
28	71.279	67.446	23.399
32	75.701	71.016	24.827
36	79.217	73.923	26.274
39	82.009	75.897	27.261
